"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand","dis_start.positon","dis_positon.end"
"905","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.1","Chr06",50705339,50716476,11138,"-",-12058,921
"906","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.3","Chr06",50718232,50726722,8491,"-",835,-9325
"907","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.2","Chr06",50705339,50716476,11138,"-",-12058,921
"908","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.3","Chr06",50718232,50726722,8491,"-",835,-9325
"909","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.5","Chr06",50705338,50716476,11139,"-",-12059,921
"910","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.6","Chr06",50717155,50726722,9568,"-",-242,-9325
"911","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.7","Chr06",50718232,50726722,8491,"-",835,-9325
"912","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.1","Chr06",50705339,50716476,11138,"-",-12058,921
"913","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.4","Chr06",50705338,50716476,11139,"-",-12059,921
"914","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.4","Chr06",50705338,50716476,11139,"-",-12059,921
"915","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.7","Chr06",50718232,50726722,8491,"-",835,-9325
"916","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.5","Chr06",50705338,50716476,11139,"-",-12059,921
"917","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.6","Chr06",50717155,50726722,9568,"-",-242,-9325
"918","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.2","Chr06",50705339,50716476,11138,"-",-12058,921
"919","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.1","Chr06",50705339,50716476,11138,"-",-12058,921
"920","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.3","Chr06",50718232,50726722,8491,"-",835,-9325
"921","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.2","Chr06",50705339,50716476,11138,"-",-12058,921
"922","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.3","Chr06",50718232,50726722,8491,"-",835,-9325
"923","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145400.5","Chr06",50705338,50716476,11139,"-",-12059,921
"924","PstI.TP1187427","CmN.109",6,50717397,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06101,7.382,NA,"",NA,NA,"","Sobic.006G145500.6","Chr06",50717155,50726722,9568,"-",-242,-9325
"926","PstI.TP1193013","Yld_kg.14",6,60825902,"Yld","PS_Y(2)","C106+4202(2)","","","mrMLM(1)FASTmrEMMA(1)","","",0.1132,10.16,NA,"PstI.TP1166626",7,5373971,"PstI.TP1166626\7\5373971","Sobic.006G277200.1","Chr06",60822255,60826353,4099,"+",-3647,-451
"927","PstI.TP1193013","Yld_kg.14",6,60825902,"Yld","PS_Y(2)","C106+4202(2)","","","mrMLM(1)FASTmrEMMA(1)","","",0.1132,10.16,NA,"PstI.TP1166626",7,5373971,"PstI.TP1166626\7\5373971","Sobic.006G277200.1","Chr06",60822255,60826353,4099,"+",-3647,-451
"928","PstI.TP1193013","CmD_LI_mm.25",6,60825902,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.1132,9.211,NA,"",NA,NA,"","Sobic.006G277200.1","Chr06",60822255,60826353,4099,"+",-3647,-451
"929","PstI.TP1193013","CmD_LI_mm.25",6,60825902,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.1132,9.211,NA,"",NA,NA,"","Sobic.006G277200.1","Chr06",60822255,60826353,4099,"+",-3647,-451
"934","PstI.TP1212724","CmN.112",1,72123046,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.07685,8.667,NA,"",NA,NA,"","Sobic.001G444000.1","Chr01",72120795,72124345,3551,"+",-2251,-1299
"936","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.1","Chr03",55546852,55547957,1106,"+",-125,-980
"937","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.2","Chr03",55538595,55546807,8213,"+",-8382,170
"938","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.2","Chr03",55546852,55547957,1106,"+",-125,-980
"939","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.2","Chr03",55538595,55546807,8213,"+",-8382,170
"940","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.1","Chr03",55538595,55546807,8213,"+",-8382,170
"941","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.2","Chr03",55546852,55547957,1106,"+",-125,-980
"942","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.1","Chr03",55546852,55547957,1106,"+",-125,-980
"943","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.1","Chr03",55538595,55546807,8213,"+",-8382,170
"944","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.1","Chr03",55546852,55547957,1106,"+",-125,-980
"945","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.2","Chr03",55538595,55546807,8213,"+",-8382,170
"946","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.2","Chr03",55546852,55547957,1106,"+",-125,-980
"947","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.2","Chr03",55538595,55546807,8213,"+",-8382,170
"948","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.1","Chr03",55538595,55546807,8213,"+",-8382,170
"949","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.2","Chr03",55546852,55547957,1106,"+",-125,-980
"950","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220266.1","Chr03",55546852,55547957,1106,"+",-125,-980
"951","PstI.TP1214992","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"","Sobic.003G220200.1","Chr03",55538595,55546807,8213,"+",-8382,170
"952","PstI.TP1218439","CmN.113",9,53101439,"CmN","PS_Y(1)","C106+4202(1)","","","FASTmrMLM(1)","","",0.1462,8.965,NA,"",NA,NA,"","Sobic.009G175900.1","Chr09",53098542,53102549,4008,"-",-2897,-1110
"953","PstI.TP1218439","CmN.113",9,53101439,"CmN","PS_Y(1)","C106+4202(1)","","","FASTmrMLM(1)","","",0.1462,8.965,NA,"",NA,NA,"","Sobic.009G175900.2","Chr09",53096909,53102171,5263,"-",-4530,-732
"954","PstI.TP1218439","CmN.113",9,53101439,"CmN","PS_Y(1)","C106+4202(1)","","","FASTmrMLM(1)","","",0.1462,8.965,NA,"",NA,NA,"","Sobic.009G175900.3","Chr09",53096875,53102171,5297,"-",-4564,-732
"955","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.2","Chr06",56642614,56655459,12846,"-",-11880,-965
"956","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.1","Chr06",56642644,56655858,13215,"-",-11850,-1364
"957","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.1","Chr06",56642644,56655858,13215,"-",-11850,-1364
"958","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219400.1","Chr06",56654817,56655429,613,"+",323,-935
"959","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.2","Chr06",56642614,56655459,12846,"-",-11880,-965
"960","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219400.1","Chr06",56654817,56655429,613,"+",323,-935
"961","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.2","Chr06",56642614,56655459,12846,"-",-11880,-965
"962","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.1","Chr06",56642644,56655858,13215,"-",-11850,-1364
"963","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.1","Chr06",56642644,56655858,13215,"-",-11850,-1364
"964","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219400.1","Chr06",56654817,56655429,613,"+",323,-935
"965","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219300.2","Chr06",56642614,56655459,12846,"-",-11880,-965
"966","PstI.TP1225179","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"","Sobic.006G219400.1","Chr06",56654817,56655429,613,"+",323,-935
"968","PstI.TP1226186","CmN.115",3,7342289,"CmN","PS_Y(2)","C124+2560(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.3024,2.003,NA,"",NA,NA,"","Sobic.003G085100.1","Chr03",7340557,7343742,3186,"+",-1732,-1453
"969","PstI.TP123530","CmN.116",10,7243969,"CmN","PS_Y(2)","C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.06466,6.632,NA,"",NA,NA,"","Sobic.010G085000.1","Chr10",7243613,7245489,1877,"-",-356,-1520
"970","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303700.1","Chr04",64293408,64295083,1676,"+",-1598,-77
"971","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303800.1","Chr04",64295772,64297291,1520,"-",766,-2285
"972","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303800.1","Chr04",64295772,64297291,1520,"-",766,-2285
"973","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303700.1","Chr04",64293408,64295083,1676,"+",-1598,-77
"974","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303700.1","Chr04",64293408,64295083,1676,"+",-1598,-77
"975","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303800.1","Chr04",64295772,64297291,1520,"-",766,-2285
"976","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303800.1","Chr04",64295772,64297291,1520,"-",766,-2285
"977","PstI.TP1235909","CmN.117",4,64295006,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1575,8.152,NA,"",NA,NA,"","Sobic.004G303700.1","Chr04",64293408,64295083,1676,"+",-1598,-77
"980","PstI.TP1246584","Cml_cm.36",1,1015480,"Cml_cm","PS_Y(3)","C116+3293(3)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);pLARmEB(1)","","",0.4386,17.62,NA,"",NA,NA,"","Sobic.001G011800.1","Chr01",1015540,1016301,762,"+",60,-821
"981","PstI.TP1248844","CmN.120",8,1028461,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.07949,10.25,NA,"",NA,NA,"","Sobic.008G012300.1","Chr08",1026398,1029238,2841,"-",-2063,-777
"982","PstI.TP1248844","CmN.120",8,1028461,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.07949,10.25,NA,"",NA,NA,"","Sobic.008G012300.1","Chr08",1026398,1029238,2841,"-",-2063,-777
"983","PstI.TP1248844","CmD_LI_mm.26",8,1028461,"CmD_LI_mm","PS_N(1);PS_Y(2)","124+36088im(3)","","","FASTmrMLM(2);pKWmEB(1)","","",0.1613,19.26,NA,"",NA,NA,"","Sobic.008G012300.1","Chr08",1026398,1029238,2841,"-",-2063,-777
"984","PstI.TP1248844","CmD_LI_mm.26",8,1028461,"CmD_LI_mm","PS_N(1);PS_Y(2)","124+36088im(3)","","","FASTmrMLM(2);pKWmEB(1)","","",0.1613,19.26,NA,"",NA,NA,"","Sobic.008G012300.1","Chr08",1026398,1029238,2841,"-",-2063,-777
"985","PstI.TP1249212","CmDW_g.28",3,58498950,"CmDW_g","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.1573,7.868,NA,"",NA,NA,"","Sobic.003G246100.1","Chr03",58494624,58499601,4978,"+",-4326,-651
"988","PstI.TP1250993","CmN.121",4,666401,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1086,7.53,NA,"",NA,NA,"","Sobic.004G007500.1","Chr04",665105,667038,1934,"+",-1296,-637
"989","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.2","Chr07",56573347,56575999,2653,"+",283,-2935
"990","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.1","Chr07",56573347,56575999,2653,"+",283,-2935
"991","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.1","Chr07",56573347,56575999,2653,"+",283,-2935
"992","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.2","Chr07",56573347,56575999,2653,"+",283,-2935
"993","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137700.1","Chr07",56571473,56573346,1874,"-",-1591,-282
"994","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137700.1","Chr07",56571473,56573346,1874,"-",-1591,-282
"995","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.2","Chr07",56573347,56575999,2653,"+",283,-2935
"996","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.1","Chr07",56573347,56575999,2653,"+",283,-2935
"997","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.1","Chr07",56573347,56575999,2653,"+",283,-2935
"998","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137750.2","Chr07",56573347,56575999,2653,"+",283,-2935
"999","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137700.1","Chr07",56571473,56573346,1874,"-",-1591,-282
"1000","PstI.TP1254872","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"","Sobic.007G137700.1","Chr07",56571473,56573346,1874,"-",-1591,-282
"1001","PstI.TP126085","CmD_LI_mm.27",6,60503682,"CmD_LI_mm","PS_Y(2)","124+36088im(2)","","","FASTmrMLM(1);ISIS EM-BLASSO(1)","","",0.1008,17.25,NA,"",NA,NA,"","Sobic.006G273400.1","Chr06",60495764,60503240,7477,"+",-7918,442
"1002","PstI.TP1263163","CmN.123",9,8556161,"CmN","PS_Y(1)","C106+4202(1)","","","","","GLM(1)",0.1179,12.41,NA,"",NA,NA,"","Sobic.009G071600.4","Chr09",8553630,8560103,6474,"-",-2531,-3942
"1003","PstI.TP1263163","CmN.123",9,8556161,"CmN","PS_Y(1)","C106+4202(1)","","","","","GLM(1)",0.1179,12.41,NA,"",NA,NA,"","Sobic.009G071600.3","Chr09",8553631,8559166,5536,"-",-2530,-3005
"1004","PstI.TP1263163","CmN.123",9,8556161,"CmN","PS_Y(1)","C106+4202(1)","","","","","GLM(1)",0.1179,12.41,NA,"",NA,NA,"","Sobic.009G071600.2","Chr09",8553631,8559166,5536,"-",-2530,-3005
"1005","PstI.TP1263163","CmN.123",9,8556161,"CmN","PS_Y(1)","C106+4202(1)","","","","","GLM(1)",0.1179,12.41,NA,"",NA,NA,"","Sobic.009G071600.6","Chr09",8553630,8560103,6474,"-",-2531,-3942
"1006","PstI.TP1263163","CmN.123",9,8556161,"CmN","PS_Y(1)","C106+4202(1)","","","","","GLM(1)",0.1179,12.41,NA,"",NA,NA,"","Sobic.009G071600.5","Chr09",8553616,8560111,6496,"-",-2545,-3950
"1007","PstI.TP1263163","CmN.123",9,8556161,"CmN","PS_Y(1)","C106+4202(1)","","","","","GLM(1)",0.1179,12.41,NA,"",NA,NA,"","Sobic.009G071600.1","Chr09",8553616,8560111,6496,"-",-2545,-3950
"1008","PstI.TP1268585","CCirc_cm.21",1,2988383,"CCirc_cm","PS_Y(1)","C106+4202(1)","","","mrMLM(1)","","",0.375,34.33,NA,"",NA,NA,"","Sobic.001G040200.1","Chr01",2987435,2989263,1829,"-",-948,-880
"1010","PstI.TP1272828","CmN.124",10,59027538,"CmN","PS_N(1)","C106+4202(1)","","","pKWmEB(1)","","",0.3019,11.23,NA,"",NA,NA,"","Sobic.010G251000.1","Chr10",59020575,59027965,7391,"+",-6963,-427
"1011","PstI.TP1280049","Bcirc_cm.33",3,4545043,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.164,3.709,NA,"",NA,NA,"","Sobic.003G049600.2","Chr03",4541987,4548948,6962,"+",-3056,-3905
"1015","PstI.TP1294713","CmN.125",10,4269426,"CmN","PS_Y(2)","124+36088im(2)","MLM+SUPER(1)","","","","GLM(1)",0.1777,10.6,NA,"",NA,NA,"","Sobic.010G054400.1","Chr10",4268508,4272050,3543,"+",-918,-2624
"1017","PstI.TP132940","CmN.127",3,8690384,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.0658,7.132,NA,"",NA,NA,"","Sobic.003G098401.1","Chr03",8688877,8692011,3135,"+",-1507,-1627
"1018","PstI.TP134129","Bcirc_cm.34",9,51572610,"Bcirc_cm","PS_Y(1)","C124+2560(1)","","","mrMLM(1)","","",0.0205,0,NA,"",NA,NA,"","Sobic.009G158000.1","Chr09",51568670,51573600,4931,"+",-3940,-990
"1019","PstI.TP134453","CmDW_g.30",2,61861955,"CmDW_g","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.4303,5.746,NA,"",NA,NA,"","Sobic.002G226700.2","Chr02",61861317,61863067,1751,"-",-638,-1112
"1020","PstI.TP137261","CmD_BI_mm.30",1,5540981,"CmD_BI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.2264,5.351,NA,"",NA,NA,"","Sobic.001G072900.2","Chr01",5539713,5545111,5399,"+",-1268,-4130
"1022","PstI.TP139651","CmD_LI_mm.29",2,69224467,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.08962,0.6118,NA,"",NA,NA,"","Sobic.002G320700.1","Chr02",69217722,69224768,7047,"+",-6745,-301
"1023","PstI.TP139651","CmD_LI_mm.29",2,69224467,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.08962,0.6118,NA,"",NA,NA,"","Sobic.002G320900.1","Chr02",69223562,69233455,9894,"-",-905,-8988
"1024","PstI.TP139651","CmD_LI_mm.29",2,69224467,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.08962,0.6118,NA,"",NA,NA,"","Sobic.002G320700.1","Chr02",69217722,69224768,7047,"+",-6745,-301
"1025","PstI.TP139651","CmD_LI_mm.29",2,69224467,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.08962,0.6118,NA,"",NA,NA,"","Sobic.002G320900.2","Chr02",69223562,69233455,9894,"-",-905,-8988
"1026","PstI.TP139651","CmD_LI_mm.29",2,69224467,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.08962,0.6118,NA,"",NA,NA,"","Sobic.002G320900.2","Chr02",69223562,69233455,9894,"-",-905,-8988
