"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand"
"930","PstI.TP1193826","CmD_BI_mm.27",11,8443,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0363,8.211,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"931","PstI.TP1198406","Bcirc_cm.30",4,2136493,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.3589,2.38e-06,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"932","PstI.TP1202714","Yld_kg.43",11,8490,"Yld","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1492,3.95,NA,"NsiI.TP827851",4,12330408,"NsiI.TP827851\4\12330408",NA,NA,NA,NA,NA,NA
"933","PstI.TP1204344","CmN.111",11,8498,"CmN","PS_Y(1)","C124+2560(1)","","","FASTmrMLM(1)","","",0.2339,8.732,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"935","PstI.TP1213759","Bcirc_cm.31",11,8549,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.2438,1.917,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"967","PstI.TP1225854","Bcirc_cm.32",11,8636,"Bcirc_cm","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.08824,0.4129,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"978","PstI.TP1237979","CmN.118",11,8717,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.05143,7.545,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"979","PstI.TP1242757","CmN.119",11,8753,"CmN","PS_Y(1)","C106+4202(1)","MLM+SUPER(1)","","","","",0.2972,1.186,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"986","PstI.TP1250222","CmD_BI_mm.28",11,8799,"CmD_BI_mm","PS_Y(1)","C124+2560(1)","","","FASTmrEMMA(1)","","",0.0484,4.161,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"987","PstI.TP1250222","CCirc_cm.20",11,8799,"CCirc_cm","PS_Y(4)","C124+2560(4)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);pKWmEB(1);pLARmEB(1)","","",0.0513,10.51,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1009","PstI.TP1268841","CmD_LI_mm.28",11,8938,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.1371,12.04,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1012","PstI.TP128846","CmD_BI_mm.29",11,1080,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1129,9.61,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1013","PstI.TP128846","CCirc_cm.22",11,1080,"CCirc_cm","PS_N(2);PS_Y(2)","124+36088im(4)","","","FASTmrMLM(2);pKWmEB(2)","","",0.1092,24.66,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1014","PstI.TP128846","CmDW_g.29",11,1080,"CmDW_g","PS_N(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.1129,14.46,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1016","PstI.TP132021","CmN.126",11,1110,"CmN","PS_Y(1)","C106+4202(1)","MLM+SUPER(1)","","","","",0.07547,2.136,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1021","PstI.TP139250","CmN.128",11,1151,"CmN","PS_Y(2)","124+36088im(2)","MLM+SUPER(1)","","","","GLM(1)",0.07655,8.2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1036","PstI.TP140756","CmN.129",11,1171,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1)","","","","GLM(1)",0.2669,8.46,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1037","PstI.TP141279","Bcirc_cm.35",11,12718,"Bcirc_cm","PS_Y(1)","C124+2560(1)","","","FASTmrMLM(1)","","",0.1411,12.65,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1038","PstI.TP142256","CmD_LI_mm.30",11,1187,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2623,0.2309,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1085","PstI.TP154137","CmD_LI_mm.31",9,46091568,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.09495,1.905,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1090","PstI.TP158908","Bcirc_cm.38",11,1303,"Bcirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.1179,0.0009215,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1094","PstI.TP18079","Bcirc_cm.40",6,50586809,"Bcirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.09906,1.999,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1101","PstI.TP19142","Cml_cm.40",11,155,"Cml_cm","PS_N(1)","C106+4202(1)","","","FASTmrEMMA(1)","","",0.1415,8.147,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1102","PstI.TP192620","CmN.133",11,1575,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.1716,2.809,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1106","PstI.TP202435","Bcirc_cm.42",3,7414396,"Bcirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.06662,18,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1118","PstI.TP224188","Bcirc_cm.43",11,1842,"Bcirc_cm","PS_N(3);PS_Y(5)","124+36088im(1);C106+4202(7)","","","FASTmrEMMA(2);FASTmrMLM(1);ISIS EM-BLASSO(2);mrMLM(1);pKWmEB(2)","","",0.3846,21.64,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1185","PstI.TP229079","CmN.136",11,1881,"CmN","PS_Y(3)","C106+4202(2);C116+3293(1)","CMLM+SUPER(1);MLM+SUPER(1)","","FASTmrMLM(1)","","",0.1293,6.893,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1186","PstI.TP230112","CmN.137",11,1898,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.2153,7.448,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1196","PstI.TP241242","CmN.140",10,7791807,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.441,6.839,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1201","PstI.TP250138","CmD_BI_mm.34",11,2033,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0605,3.799,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1203","PstI.TP253210","CmN.143",11,2060,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.09726,7.829,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1204","PstI.TP25647","CCirc_cm.24",11,198,"CCirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.0685,0.1229,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1205","PstI.TP257951","CmN.144",4,14228269,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.06654,7.663,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1225","PstI.TP30419","CmN.150",11,232,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.07068,3.965,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1229","PstI.TP312941","Bcirc_cm.45",2,2888124,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1411,8.161,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1240","PstI.TP320216","CmN.152",11,2535,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.339,11.53,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1241","PstI.TP321657","CmN.153",11,2549,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06124,6.832,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1242","PstI.TP323391","CmN.154",11,2564,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1151,7.009,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1243","PstI.TP324568","CmD_BI_mm.35",1,72175111,"CmD_BI_mm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.1078,3.73,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1246","PstI.TP339945","CmDW_g.36",11,2686,"CmDW_g","PS_N(1)","C106+4202(1)","","","FASTmrEMMA(1)","","",0.0613,7.505,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1247","PstI.TP339945","CmN.155",11,2686,"CmN","PS_N(3);PS_Y(1)","C106+4202(2);C116+3293(2)","","","FASTmrEMMA(2);FASTmrMLM(1)","","GLM(1)",0.0647,10.89,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1252","PstI.TP355049","Cml_cm.45",9,55239543,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.3643,0.9939,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1253","PstI.TP356174","CmN.157",11,2816,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.04889,6.969,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1254","PstI.TP36125","Bcirc_cm.47",11,299,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.1025,51.68,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1255","PstI.TP36138","CmN.158",11,300,"CmN","PS_N(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.1008,3.159,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1281","PstI.TP401147","CCirc_cm.32",11,3119,"CCirc_cm","PS_N(8);PS_Y(1)","C106+4202(3);C116+3293(4);C124+2560(2)","","FarmCPU(2)","FASTmrMLM(3);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.09906,25.24,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1282","PstI.TP401147","Yld_kg.44",11,3119,"Yld","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.09677,0.4017,NA,"PstI.TP1071296",11,7466,"PstI.TP1071296\11\7466",NA,NA,NA,NA,NA,NA
"1284","PstI.TP409444","CmN.161",11,3169,"CmN","PS_Y(3)","C106+4202(1);C124+2560(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07075,1.321,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1288","PstI.TP411848","CmD_LI_mm.39",11,3188,"CmD_LI_mm","PS_Y(5)","C106+4202(3);C116+3293(1);C124+2560(1)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);pKWmEB(2);pLARmEB(1)","","",0.4856,20.4,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1289","PstI.TP411848","CmD_BI_mm.41",11,3188,"CmD_BI_mm","PS_N(4);PS_Y(8)","C106+4202(6);C116+3293(4);C124+2560(2)","","FarmCPU(1)","FASTmrEMMA(1);FASTmrMLM(3);ISIS EM-BLASSO(5);pKWmEB(2)","","",0.4764,12.15,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1290","PstI.TP411848","Cml_cm.46",11,3188,"Cml_cm","PS_N(1);PS_Y(5)","C106+4202(4);C116+3293(2)","","","FASTmrEMMA(1);FASTmrMLM(1);ISIS EM-BLASSO(2);pKWmEB(2)","","",0.4764,9.418,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1291","PstI.TP411848","CmDW_g.41",11,3188,"CmDW_g","PS_N(5);PS_Y(16)","C106+4202(10);C116+3293(4);C124+2560(7)","CMLM+SUPER(1)","","FASTmrEMMA(3);FASTmrMLM(4);ISIS EM-BLASSO(5);mrMLM(2);pKWmEB(5);pLARmEB(1)","","",0.4856,18.8,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1292","PstI.TP411848","CmN.163",11,3188,"CmN","PS_N(14);PS_Y(27)","124+36088im(5);C106+4202(11);C116+3293(13);C124+2560(12)","CMLM+SUPER(3);MLM+SUPER(3)","FarmCPU(2)","FASTmrEMMA(4);FASTmrMLM(6);ISIS EM-BLASSO(7);mrMLM(3);pKWmEB(8);pLARmEB(2)","","GLM(3)",0.4764,20.7,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1293","PstI.TP411848","Yld_kg.45",11,3188,"Yld","PS_N(1)","C124+2560(1)","","","FASTmrMLM(1)","","",0.4395,4.034,NA,"PstI.TP1096280",3,1833730,"PstI.TP1096280\3\1833730",NA,NA,NA,NA,NA,NA
"1299","PstI.TP432918","CmN.166",11,3318,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2587,2.263,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1300","PstI.TP433234","CmD_BI_mm.42",11,3320,"CmD_BI_mm","PS_N(1);PS_Y(5)","C106+4202(4);C116+3293(1);C124+2560(1)","","","FASTmrEMMA(1);FASTmrMLM(1);ISIS EM-BLASSO(3);pKWmEB(1)","","",0.1724,6.012,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1301","PstI.TP433234","CmD_LI_mm.40",11,3320,"CmD_LI_mm","PS_Y(2)","C106+4202(2)","","","FASTmrMLM(1);pKWmEB(1)","","",0.1651,0.6827,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1302","PstI.TP433679","CmD_BI_mm.43",11,3324,"CmD_BI_mm","PS_N(1);PS_Y(1)","C124+2560(2)","","","pKWmEB(2)","","",0.1371,3.725,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1303","PstI.TP433679","Cml_cm.47",11,3324,"Cml_cm","PS_N(8);PS_Y(5)","C106+4202(2);C116+3293(1);C124+2560(10)","CMLM+SUPER(1);MLM+SUPER(1)","","FASTmrEMMA(1);FASTmrMLM(2);ISIS EM-BLASSO(3);pKWmEB(3);pLARmEB(2)","","",0.1393,10.59,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1304","PstI.TP433679","CmDW_g.42",11,3324,"CmDW_g","PS_N(2)","C124+2560(2)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.1371,4.192,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1305","PstI.TP433679","Yld_kg.46",11,3324,"Yld","PS_N(1)","C124+2560(1)","","","ISIS EM-BLASSO(1)","","",0.1371,5.408,NA,"PstI.TP1202714",11,8490,"PstI.TP1202714\11\8490",NA,NA,NA,NA,NA,NA
"1316","PstI.TP440570","CmN.168",11,3369,"CmN","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.1282,0.362,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1318","PstI.TP451853","Cml_cm.48",11,3460,"Cml_cm","PS_N(1);PS_Y(1)","C124+2560(2)","","","FASTmrMLM(2)","","",0.2661,3.858,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"1327","PstI.TP45703","CmN.170",11,389,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06498,7.237,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2005","PstI.TP465891","CmN.173",11,3546,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.07651,8.106,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2007","PstI.TP47447","CmDW_g.45",1,12743038,"CmDW_g","PS_N(1);PS_Y(2)","124+36088im(3)","","","ISIS EM-BLASSO(1);mrMLM(2)","","",0.1311,13.22,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2008","PstI.TP47447","CmD_LI_mm.42",1,12743038,"CmD_LI_mm","PS_N(1);PS_Y(3)","124+36088im(4)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);pKWmEB(2)","","",0.129,16.38,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2026","PstI.TP480983","CmN.174",4,61064043,"CmN","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1312,0.3295,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2027","PstI.TP482786","Yld_kg.47",11,3658,"Yld","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1452,0.1854,NA,"PstI.TP401147",11,3119,"PstI.TP401147\11\3119",NA,NA,NA,NA,NA,NA
"2077","PstI.TP492299","CmDW_g.46",11,3739,"CmDW_g","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0605,0.6827,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2078","PstI.TP492299","Yld_kg.48",11,3739,"Yld","PS_N(1)PS_Y(3)","124+36088im(4)","","","FASTmrMLM(1)ISIS EM-BLASSO(1)pLARmEB(2)","","",0.0605,1.443,NA,"PstI.TP411848",11,3188,"PstI.TP411848\11\3188",NA,NA,NA,NA,NA,NA
"2079","PstI.TP492299","CmN.177",11,3739,"CmN","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0605,0.2305,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2081","PstI.TP501240","CCirc_cm.35",6,40247059,"CCirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);pKWmEB(2)","","",0.1471,10.63,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2082","PstI.TP503391","Bcirc_cm.52",2,73095782,"Bcirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.3255,0.2224,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2087","PstI.TP508209","CmD_BI_mm.52",11,3838,"CmD_BI_mm","PS_N(2)","124+36088im(2)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.0968,9.468,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2089","PstI.TP513843","Bcirc_cm.54",3,2577255,"Bcirc_cm","PS_Y(1)","C106+4202(1)","","","pKWmEB(1)","","",0.3208,3.337,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2090","PstI.TP513843","CmD_LI_mm.44",3,2577255,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","","FASTmrMLM(1)","","",0.3208,5.058,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2096","PstI.TP532131","CmN.181",11,3976,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.1034,12.92,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2214","PstI.TP574906","CmN.188",11,4137,"CmN","PS_N(1)","C116+3293(1)","","","pKWmEB(1)","","",0.3664,3.336,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2275","PstI.TP58484","CmD_BI_mm.56",11,490,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1008,4.687,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2276","PstI.TP58484","CmD_LI_mm.46",11,490,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.1008,2.101,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2277","PstI.TP58484","CmDW_g.49",11,490,"CmDW_g","PS_N(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.1008,2.498,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2278","PstI.TP58484","CmN.191",11,490,"CmN","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.1008,1.103,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2279","PstI.TP588590","CmN.192",11,4212,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1387,8.383,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2280","PstI.TP597057","CmN.193",11,4238,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1)","","","","GLM(1)",0.2132,8.008,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2283","PstI.TP6058","CmD_LI_mm.47",11,37,"CmD_LI_mm","PS_N(1)","C124+2560(1)","","","FASTmrMLM(1)","","",0.0766,20.08,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2289","PstI.TP636384","Bcirc_cm.56",11,4471,"Bcirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1156,1.608,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2290","PstI.TP63668","CCirc_cm.39",11,530,"CCirc_cm","PS_Y(4)","C106+4202(3);C116+3293(1)","","","FASTmrMLM(1);ISIS EM-BLASSO(2);pKWmEB(1)","","",0.1741,25.65,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2291","PstI.TP63668","Yld_kg.49",11,530,"Yld","PS_N(1)","C106+4202(1)","","","pLARmEB(1)","","",0.1651,15.13,NA,"PstI.TP433679",11,3324,"PstI.TP433679\11\3324",NA,NA,NA,NA,NA,NA
"2292","PstI.TP641518","CmN.199",11,4507,"CmN","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0927,1.061,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2293","PstI.TP646910","CmD_LI_mm.48",11,4558,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.06132,2.403,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2310","PstI.TP69104","Bcirc_cm.60",11,574,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.2782,15.7,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2313","PstI.TP698973","CmN.202",11,4833,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1656,9.834,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2352","PstI.TP705377","CmD_BI_mm.60",11,4888,"CmD_BI_mm","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.246,21.36,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2417","PstI.TP713758","CmN.205",7,53864081,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.07971,7.567,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2437","PstI.TP724007","CmN.209",11,4995,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.07045,8.552,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2441","PstI.TP737962","CmD_BI_mm.62",11,5096,"CmD_BI_mm","PS_N(4)","C106+4202(4)","","","FASTmrEMMA(1);FASTmrMLM(1);ISIS EM-BLASSO(1);pKWmEB(1)","","",0.4151,14.73,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2442","PstI.TP737962","CmDW_g.53",11,5096,"CmDW_g","PS_N(6);PS_Y(1)","C106+4202(7)","","FarmCPU(1)","FASTmrEMMA(1);FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.4183,24,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2443","PstI.TP737962","CmD_LI_mm.53",11,5096,"CmD_LI_mm","PS_N(3)","C106+4202(3)","","","FASTmrEMMA(1);FASTmrMLM(1);ISIS EM-BLASSO(1)","","",0.4151,13.93,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2444","PstI.TP737962","Cml_cm.56",11,5096,"Cml_cm","PS_N(3)","C106+4202(3)","","FarmCPU(1)","FASTmrMLM(1);ISIS EM-BLASSO(1)","","",0.4151,22.36,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2445","PstI.TP737962","Yld_kg.50",11,5096,"Yld","PS_N(1)","C106+4202(1)","","","FASTmrMLM(1)","","",0.4151,5.834,NA,"PstI.TP482786",11,3658,"PstI.TP482786\11\3658",NA,NA,NA,NA,NA,NA
"2495","PstI.TP749093","CmN.213",2,74477521,"CmN","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.4121,0.3707,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2497","PstI.TP752361","CmN.214",9,3829005,"CmN","PS_N(2)","124+36088im(2)","","","FASTmrMLM(1);pKWmEB(1)","","",0.0282,24.1,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2502","PstI.TP758246","CmN.215",10,10804856,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.05402,7.019,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2515","PstI.TP771300","CmD_BI_mm.66",8,5124822,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.186,1,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2516","PstI.TP771300","CmN.216",8,5124822,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.173,8.172,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2569","PstI.TP788810","CmN.219",3,8503251,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.4395,7.119,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2617","PstI.TP803637","Bcirc_cm.71",11,5567,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.1656,1.432,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2619","PstI.TP808677","CCirc_cm.44",11,5608,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.2899,8.794,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2620","PstI.TP81008","CmD_LI_mm.58",11,677,"CmD_LI_mm","PS_N(2)","C124+2560(2)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.3992,7.921,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2621","PstI.TP81008","CmD_BI_mm.69",11,677,"CmD_BI_mm","PS_N(3)","C116+3293(1);C124+2560(2)","","","ISIS EM-BLASSO(2);pKWmEB(1)","","",0.3992,13.85,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2634","PstI.TP816953","CmD_LI_mm.59",11,5653,"CmD_LI_mm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.3145,4.176,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2636","PstI.TP834454","CmD_BI_mm.70",11,5776,"CmD_BI_mm","PS_N(3)","C124+2560(3)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);pKWmEB(1)","","",0.0766,3.064,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2637","PstI.TP834454","CmDW_g.59",11,5776,"CmDW_g","PS_N(1)","C116+3293(1)","","","FASTmrMLM(1)","","",0.0776,1.809,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
