"","SNP","Trait.name","X","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","PVE"
"551","NsiI.TP222867","GFW_1",4408,11,11625,0.000131520038105546,0.310058077572939,106,NA,NA,0.0135305752143564,NA,0.0135305752143564,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.32454689625826"
"552","NsiI.TP222867","GHW_1",5317,11,11625,0.000403164731238611,0.310058077572939,106,NA,NA,0.0323444145544762,NA,0.0323444145544762,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.61013866326588"
"553","NsiI.TP222867","HW_1",6725,11,11625,0.0000219176473604728,0.310058077572939,106,NA,NA,0.0143746890213661,NA,0.0143746890213661,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.34955044686454"
"554","NsiI.TP223397","HM_1",6496,4,62086809,0.000908223338631564,0.399014005035481,106,NA,NA,0.0414370975054964,NA,0.0414370975054964,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.175016877138829"
"555","NsiI.TP223943","GHW_1",5572,2,73061862,0.00104230408063188,0.223410002847147,106,NA,NA,0.0469824832496507,NA,0.0469824832496508,"124+36088im","MLM+SUPER","PS_Y","GAPIT","6.12326281283389"
"556","NsiI.TP224600","GFW_1",4498,6,54280091,0.000287116950962497,0.388888888888889,106,NA,NA,0.0218325393957975,NA,0.0218325393957975,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.732253161514794"
"557","NsiI.TP225733","FD_1",3416,11,11660,0.0000852733751400283,0.0540819558784531,106,NA,NA,0.0349540894284922,NA,0.0349540894284922,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.427299111154998"
"558","NsiI.TP225733","FD_50",3519,11,11660,0.0000670902492599225,0.0540819558784531,106,NA,NA,0.0224125650497612,NA,0.0224125650497612,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.694342282040414"
"559","NsiI.TP225733","fprind",7400,11,11660,0.0000544267080763931,0.0540819558784531,106,NA,NA,0.0209975038187661,NA,0.0209975038187661,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.680874677497678"
"560","NsiI.TP225733","fprinW",7276,11,11660,0.000240054206155738,0.0540819558784531,106,NA,NA,0.0405393789262822,NA,0.0405393789262822,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.712115123013609"
"561","NsiI.TP225733","FW_50",4102,11,11660,0.000254602416214036,0.0540819558784531,106,NA,NA,0.0392896458056413,NA,0.0392896458056413,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.728083377653729"
"562","NsiI.TP225733","HD_1",5900,11,11660,0.0000804599864527438,0.0540819558784531,106,NA,NA,0.043143819498896,NA,0.043143819498896,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.483818316232185"
"563","NsiI.TP225733","HD_50",5916,11,11660,0.0000122452423586174,0.0540819558784531,106,NA,NA,0.0292037898214517,NA,0.0292037898214517,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.71725340130615"
"564","NsiI.TP225733","HM_1",6139,11,11660,0.000219001781924637,0.0540819558784531,106,NA,NA,0.0262133247382339,NA,0.0262133247382339,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.69247408523249"
"565","NsiI.TP22693","FD_1",3425,11,9369,0.000125355392696963,0.196479929447732,106,NA,NA,0.0449598972677846,NA,0.0449598972677847,"124+36088im","MLM+SUPER","PS_Y","GAPIT","3.83721375141479"
"566","NsiI.TP229129","HM_1",6618,11,11700,0.0012626812493642,0.459521256367953,106,NA,NA,0.0475253657041901,NA,0.04752536570419,"124+36088im","MLM+SUPER","PS_Y","GAPIT","4.81429387744561"
"567","NsiI.TP230244","GHW_1",5445,11,11712,0.000684745601792005,0.17010176769637,106,NA,NA,0.039083237592511,NA,0.039083237592511,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.597679580490778"
"568","NsiI.TP230244","HM_1",6316,11,11712,0.000496333533622454,0.17010176769637,106,NA,NA,0.0329640858760797,NA,0.0329640858760796,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.493833302989148"
"569","NsiI.TP23197","GFW_1",4473,10,49925074,0.000243494108486402,0.488799759940195,106,NA,NA,0.0199619513813509,NA,0.0199619513813508,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.371014398368087"
"570","NsiI.TP234225","Lg",6861,4,3371419,0.000000602054122977509,0.15668384751886,114,NA,NA,0.000713329650167874,NA,0.000713329650167874,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.306095963723878"
"571","NsiI.TP234352","ADD",3250,11,11757,0.000136803841916329,0.133066140038368,112,NA,NA,0.0478521598511062,NA,0.0478521598511063,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.122328381639039"
"572","NsiI.TP234466","HM_1",6569,11,11758,0.00112871794711606,0.0864254760228679,106,NA,NA,0.0456274829417402,NA,0.0456274829417404,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.39514577735505"
"573","NsiI.TP23487","AIL",3266,11,9381,0.000000541970179360247,0.0935364279618133,114,NA,NA,0.00355451142133418,NA,0.00355451142133418,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.72812978931415"
"574","NsiI.TP23487","HM_1",6323,11,9381,0.000507803564482882,0.0935364279618133,106,NA,NA,0.0331386037578207,NA,0.0331386037578207,"124+36088im","MLM+SUPER","PS_Y","GAPIT","5.07956277584027"
"575","NsiI.TP234912","GHW_1",5557,11,11767,0.000994217698720695,0.105650518032296,106,NA,NA,0.0460005416371053,NA,0.0460005416371053,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0869054465188895"
"576","NsiI.TP234912","HM_1",6140,11,11767,0.000219562569230933,0.105650518032296,106,NA,NA,0.0262133247382339,NA,0.0262133247382339,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00698667154336307"
"577","NsiI.TP237545","FD_1",3385,10,5377137,0.0000244823326400984,0.483612518930006,106,NA,NA,0.0192805651472652,NA,0.0192805651472651,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.878062805179469"
"578","NsiI.TP237545","FD_50",3463,10,5377137,0.00000459644768482648,0.483612518930006,106,NA,NA,0.00548105493471536,NA,0.00548105493471536,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.12209893446954"
"579","NsiI.TP237545","fprind",7356,10,5377137,0.00000563860165795168,0.483612518930006,106,NA,NA,0.00616346149561268,NA,0.00616346149561268,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.15555340514694"
"580","NsiI.TP237545","fprinGW",7094,10,5377137,0.0000164053712188145,0.483612518930006,106,NA,NA,0.0300089032965416,NA,0.0300089032965416,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.15982044008509"
"581","NsiI.TP237545","fprinW",7132,10,5377137,0.00000445880222477202,0.483612518930006,106,NA,NA,0.0106338379604245,NA,0.0106338379604245,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.0998677456117"
"582","NsiI.TP237545","FW_1",3926,10,5377137,0.0000533641167468733,0.483612518930006,106,NA,NA,0.0381433803104152,NA,0.0381433803104152,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.839576392734596"
"583","NsiI.TP237545","FW_50",3946,10,5377137,0.00000686819550051475,0.483612518930006,106,NA,NA,0.0123974216389087,NA,0.0123974216389087,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.08757040315237"
"584","NsiI.TP237545","GFW_1",4344,10,5377137,0.0000731946969075355,0.483612518930006,106,NA,NA,0.0100015398156625,NA,0.0100015398156625,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.781613414691302"
"585","NsiI.TP237545","GFW_50",4815,10,5377137,0.0000109565286529089,0.483612518930006,106,NA,NA,0.0120048404128039,NA,0.0120048404128039,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.34261991818122"
"586","NsiI.TP237545","GHW_1",5114,10,5377137,0.0000963465306249674,0.483612518930006,106,NA,NA,0.0201674952140825,NA,0.0201674952140825,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.868256542217208"
"587","NsiI.TP237545","GHW_50",5651,10,5377137,0.0000605721438053487,0.483612518930006,106,NA,NA,0.0481530188057429,NA,0.048153018805743,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.15867532207926"
"588","NsiI.TP237545","HD_1",5886,10,5377137,0.0000414931013300549,0.483612518930006,106,NA,NA,0.0320155888321371,NA,0.0320155888321371,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.956324940434946"
"589","NsiI.TP237545","HM_1",6585,10,5377137,0.00118120365256975,0.483612518930006,106,NA,NA,0.0466682178034861,NA,0.0466682178034862,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.17633731146637"
"590","NsiI.TP237545","HW_1",6715,10,5377137,0.0000164595741530685,0.483612518930006,106,NA,NA,0.0134888039587932,NA,0.0134888039587931,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.94371818525953"
"591","NsiI.TP237994","GFW_1",4760,4,4237089,0.00106568917045028,0.130790315064339,106,NA,NA,0.046015559399665,NA,0.046015559399665,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00426230660688637"
"592","NsiI.TP238740","GHW_1",5193,10,52633081,0.000186272957975781,0.0927261533321893,106,NA,NA,0.0240640267837308,NA,0.0240640267837308,"124+36088im","MLM+SUPER","PS_Y","GAPIT","3.44006513446335"
"593","NsiI.TP238741","GFW_1",4660,10,52633058,0.000688867324712942,0.30523089908051,106,NA,NA,0.0356108972536429,NA,0.0356108972536429,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0100949131647187"
"594","NsiI.TP239837","ADD",3187,3,2466199,0.0000106408045892349,0.282437451771245,112,NA,NA,0.023262572299499,NA,0.023262572299499,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0195134892940185"
"595","NsiI.TP240840","GS",5784,11,11836,0.0000424225611267858,0.0631129744927788,114,NA,NA,0.0109109163588245,NA,0.0109109163588245,"124+36088im","MLM+SUPER","PS_Y","GAPIT","10.7956995256004"
"596","NsiI.TP241069","FD_50",3593,1,56195369,0.000229026810781714,0.398388486892458,106,NA,NA,0.039528219434523,NA,0.0395282194345229,"124+36088im","MLM+SUPER","PS_Y","GAPIT","5.90840644655904"
"597","NsiI.TP241069","FM_1",3693,1,56195369,0.0000427381541220817,0.398388486892458,106,NA,NA,0.048506759761062,NA,0.048506759761062,"124+36088im","MLM+SUPER","PS_Y","GAPIT","6.11555687244228"
"598","NsiI.TP241069","FM_50",3850,1,56195369,0.000221684244901853,0.398388486892458,106,NA,NA,0.0406689823829037,NA,0.0406689823829036,"124+36088im","MLM+SUPER","PS_Y","GAPIT","5.60814850847264"
"599","NsiI.TP241069","fprind",7507,1,56195369,0.000310046629454831,0.398388486892458,106,NA,NA,0.0457853217127073,NA,0.0457853217127073,"124+36088im","MLM+SUPER","PS_Y","GAPIT","5.6926364089492"
"600","NsiI.TP241069","FW_50",4108,1,56195369,0.000276626042131432,0.398388486892458,106,NA,NA,0.0412329976663409,NA,0.0412329976663408,"124+36088im","MLM+SUPER","PS_Y","GAPIT","6.01743556219635"
"601","NsiI.TP241069","GFW_1",4181,1,56195369,0.00000369671143140665,0.398388486892458,106,NA,NA,0.0032767497484523,NA,0.0032767497484523,"124+36088im","MLM+SUPER","PS_Y","GAPIT","5.39547315593485"
"602","NsiI.TP241069","GFW_50",4932,1,56195369,0.000185991056537317,0.398388486892458,106,NA,NA,0.0348520669799999,NA,0.0348520669799998,"124+36088im","MLM+SUPER","PS_Y","GAPIT","5.79279642776384"
"603","NsiI.TP241069","GHW_1",5026,1,56195369,0.0000220620424749217,0.398388486892458,106,NA,NA,0.0158246909684854,NA,0.0158246909684853,"124+36088im","MLM+SUPER","PS_Y","GAPIT","4.94283148086058"
"604","NsiI.TP241069","HM_1",6093,1,56195369,0.000170388886160689,0.398388486892458,106,NA,NA,0.0259882676717413,NA,0.0259882676717414,"124+36088im","MLM+SUPER","PS_Y","GAPIT","5.58556247506086"
"605","NsiI.TP241069","HW_1",6743,1,56195369,0.0000535571993189916,0.398388486892458,106,NA,NA,0.0242082835669762,NA,0.0242082835669762,"124+36088im","MLM+SUPER","PS_Y","GAPIT","4.82066243172385"
"606","NsiI.TP241500","OWA19",7081,1,68301853,0.0000226191450150057,0.110194392944901,112,NA,NA,0.0499110284043614,NA,0.0499110284043613,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.681762640013006"
"607","NsiI.TP245242","Lg",6847,10,15872817,0.00000000204642579766809,0.110390085668675,114,NA,NA,0.00000766941919657496,NA,0.00000766941919657495,"124+36088im","MLM+SUPER","PS_Y","GAPIT","3.20869513437432"
"608","NsiI.TP246551","GHW_1",5529,1,11187178,0.000891847613729477,0.407897018772796,106,NA,NA,0.0434039913198143,NA,0.0434039913198143,"124+36088im","MLM+SUPER","PS_Y","GAPIT","3.03555106036416"
"609","NsiI.TP248677","GHW_1",5116,11,11928,0.0000970877286917664,0.182885018972168,106,NA,NA,0.0201674952140825,NA,0.0201674952140825,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.75150848831062"
"610","NsiI.TP248824","Lg",6899,11,11930,0.0000169144139334897,0.124512488849597,114,NA,NA,0.00752089381578252,NA,0.00752089381578252,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.405904390473895"
"611","NsiI.TP250793","GFW_1",4679,6,6506931,0.000745006148467679,0.225490196078431,106,NA,NA,0.0371568275644507,NA,0.0371568275644507,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.46571475112353"
"612","NsiI.TP251147","HM_1",6547,8,281308,0.00105218806245217,0.445699084899578,106,NA,NA,0.0440944115501122,NA,0.0440944115501122,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.60161001054176"
"613","NsiI.TP253869","FD_1",3381,1,16894827,0.0000227265355586289,0.475458970395653,106,NA,NA,0.0192805651472652,NA,0.0192805651472651,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0269508932954157"
"614","NsiI.TP253869","FD_50",3550,1,16894827,0.000108598039167643,0.475458970395653,106,NA,NA,0.026137256509394,NA,0.026137256509394,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0375105662989481"
"615","NsiI.TP253869","fprind",7440,1,16894827,0.000130457693034281,0.475458970395653,106,NA,NA,0.0313422338047654,NA,0.0313422338047655,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.044363785672717"
"616","NsiI.TP253869","fprinW",7170,1,16894827,0.0000352304744995221,0.475458970395653,106,NA,NA,0.0188619646534788,NA,0.0188619646534788,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0254690512322732"
"617","NsiI.TP253869","FW_1",3920,1,16894827,0.0000350080945073496,0.475458970395653,106,NA,NA,0.0306134117101937,NA,0.0306134117101936,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0183094774056669"
"618","NsiI.TP253869","FW_50",3958,1,16894827,0.0000141921470942321,0.475458970395653,106,NA,NA,0.0134696092532806,NA,0.0134696092532806,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0189648432556338"
"619","NsiI.TP253869","GFW_1",4630,1,16894827,0.000627794519423926,0.475458970395653,106,NA,NA,0.0344170121159887,NA,0.0344170121159887,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0197488072160691"
"620","NsiI.TP253869","GFW_50",4838,1,16894827,0.0000285092660864073,0.475458970395653,106,NA,NA,0.0159420623226316,NA,0.0159420623226315,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00444149405168918"
"621","NsiI.TP253869","GHW_1",5347,1,16894827,0.000469643766955055,0.475458970395653,106,NA,NA,0.0342111828736794,NA,0.0342111828736794,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0039001212820013"
"622","NsiI.TP253869","HD_1",5889,1,16894827,0.0000464952923182778,0.475458970395653,106,NA,NA,0.032966418883181,NA,0.0329664188831811,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0280053265291425"
"623","NsiI.TP25459","FW_50",4089,2,61014638,0.000222761495365531,0.116975930733975,106,NA,NA,0.0372224526714608,NA,0.0372224526714608,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.18029708028335"
"624","NsiI.TP25459","GFW_1",4386,2,61014638,0.00010876896839945,0.116975930733975,106,NA,NA,0.0122465455664857,NA,0.0122465455664857,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.58127711488417"
"625","NsiI.TP25459","GFW_50",4986,2,61014638,0.000353713223016373,0.116975930733975,106,NA,NA,0.0478315087248017,NA,0.0478315087248017,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.34244642736247"
"626","NsiI.TP25459","GHW_1",5456,2,61014638,0.000699031038984786,0.116975930733975,106,NA,NA,0.0392910617140786,NA,0.0392910617140786,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.12311034530701"
"627","NsiI.TP25459","HM_1",6286,2,61014638,0.000430995577481179,0.116975930733975,106,NA,NA,0.030958486324694,NA,0.030958486324694,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.10536061526028"
"628","NsiI.TP255006","FM_1",3679,6,59462133,0.0000210939432714018,0.173926716253157,106,NA,NA,0.048506759761062,NA,0.048506759761062,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.576326053317596"
"629","NsiI.TP255006","GHW_1",5585,6,59462133,0.00107338672055768,0.173926716253157,106,NA,NA,0.0473054082840746,NA,0.0473054082840748,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.934907382979739"
"630","NsiI.TP255006","HM_1",5946,6,59462133,0.0000148074647332571,0.173926716253157,106,NA,NA,0.0155383611924906,NA,0.0155383611924907,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.199537328873188"
"631","NsiI.TP255144","Lg",6949,1,15433398,0.0000882258638815895,0.37338550589148,114,NA,NA,0.0212341037896295,NA,0.0212341037896295,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.207739095931248"
"632","NsiI.TP256580","GFW_1",4459,9,54079974,0.000222047326210861,0.253488468161216,106,NA,NA,0.01902824982676,NA,0.01902824982676,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0149447019380895"
"633","NsiI.TP257172","GFW_1",4443,3,6560304,0.000197990077037052,0.149362567325331,106,NA,NA,0.0178678884895886,NA,0.0178678884895886,"124+36088im","MLM+SUPER","PS_Y","GAPIT","1.57041079373714"
"634","NsiI.TP257521","FD_1",3401,11,12015,0.0000519790437221712,0.316993464052288,106,NA,NA,0.0277591359813306,NA,0.0277591359813306,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0300519271752982"
"635","NsiI.TP257521","FD_50",3473,11,12015,0.0000113437069680214,0.316993464052288,106,NA,NA,0.00926059623636887,NA,0.0092605962363689,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.000126293348943238"
"636","NsiI.TP257521","FM_50",3773,11,12015,0.0000658132039519295,0.316993464052288,106,NA,NA,0.0260304476438326,NA,0.0260304476438326,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00876697420598119"
"637","NsiI.TP257521","fprind",7366,11,12015,0.0000146083286128154,0.316993464052288,106,NA,NA,0.0110134138204526,NA,0.0110134138204527,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00000290378803337504"
"638","NsiI.TP257521","fprinGW",7089,11,12015,0.00000985508781126981,0.316993464052288,106,NA,NA,0.0300089032965416,NA,0.0300089032965416,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.000977299574026828"
"639","NsiI.TP257521","fprinW",7133,11,12015,0.00000516846932038691,0.316993464052288,106,NA,NA,0.0111281218421008,NA,0.0111281218421008,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.000315838867448197"
"640","NsiI.TP257521","FW_1",3916,11,12015,0.0000318606580213922,0.316993464052288,106,NA,NA,0.0306134117101937,NA,0.0306134117101936,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0233587729703954"
"641","NsiI.TP257521","FW_50",3945,11,12015,0.00000661920273398522,0.316993464052288,106,NA,NA,0.0123974216389087,NA,0.0123974216389087,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00125410927504468"
"642","NsiI.TP257521","GFW_1",4226,11,12015,0.0000125488226480817,0.316993464052288,106,NA,NA,0.00450966867602431,NA,0.00450966867602432,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0207743754983401"
"643","NsiI.TP257521","GFW_50",4814,11,12015,0.0000106689659915573,0.316993464052288,106,NA,NA,0.0120048404128039,NA,0.0120048404128039,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00000410338545672515"
"644","NsiI.TP257521","GHW_1",5083,11,12015,0.0000718217749464929,0.316993464052288,106,NA,NA,0.0199946572143003,NA,0.0199946572143003,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.011513424621986"
"645","NsiI.TP257521","GHW_50",5647,11,12015,0.0000485178161036597,0.316993464052288,106,NA,NA,0.0438902202642555,NA,0.0438902202642555,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00898491617836823"
"646","NsiI.TP257521","HM_1",6043,11,12015,0.000114939681716852,0.316993464052288,106,NA,NA,0.0241213944619576,NA,0.0241213944619576,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00541194559536311"
"647","NsiI.TP257521","HW_1",6785,11,12015,0.00014674953728664,0.316993464052288,106,NA,NA,0.0384982736117771,NA,0.0384982736117771,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0164311205181625"
"648","NsiI.TP258067","GHW_1",5333,2,45969771,0.000444329515727403,0.133888183979072,106,NA,NA,0.0338696216617649,NA,0.0338696216617649,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.00406079249754284"
"649","NsiI.TP260208","FD_50",3669,10,52582112,0.000428070268564264,0.483167576658644,106,NA,NA,0.0492543659013811,NA,0.0492543659013812,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.684650663721973"
"650","NsiI.TP260208","FM_50",3809,10,52582112,0.000151343492318544,0.483167576658644,106,NA,NA,0.0383261722161652,NA,0.0383261722161652,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.995774598878255"
"651","NsiI.TP260208","FW_50",4098,10,52582112,0.000245699359671911,0.483167576658644,106,NA,NA,0.0387376713587156,NA,0.0387376713587155,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.712479837797274"
"652","NsiI.TP260208","GFW_1",4511,10,52582112,0.000312659224571615,0.483167576658644,106,NA,NA,0.0229114583726585,NA,0.0229114583726585,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.482093504127632"
"653","NsiI.TP260208","GHW_1",5459,10,52582112,0.000702428449489322,0.483167576658644,106,NA,NA,0.0392910617140786,NA,0.0392910617140786,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.446791708260176"
"654","NsiI.TP260208","HM_1",6314,10,52582112,0.000493776568506425,0.483167576658644,106,NA,NA,0.0328891629491174,NA,0.0328891629491174,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.384073739039396"
"655","NsiI.TP260586","Lg",7025,11,12047,0.000295049797967565,0.0612998593338773,114,NA,NA,0.0418340983267872,NA,0.0418340983267872,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.0109567802541993"
"656","NsiI.TP260623","ADD",3225,8,49124523,0.0000871066244766239,0.241798891752892,112,NA,NA,0.0440888421709621,NA,0.0440888421709621,"124+36088im","MLM+SUPER","PS_Y","GAPIT","9.04851857016955"
"657","NsiI.TP260906","HM_1",6127,11,12049,0.000211052684454467,0.467138821873082,106,NA,NA,0.0262133247382339,NA,0.0262133247382339,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.61132639187514"
"658","NsiI.TP262378","GFW_1",4220,8,55743978,0.0000110857043611856,0.438721410367113,106,NA,NA,0.00428832859371268,NA,0.00428832859371268,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.35874421425836"
"659","NsiI.TP262378","GHW_1",5118,8,55743978,0.000101330693641153,0.438721410367113,106,NA,NA,0.0201674952140825,NA,0.0201674952140825,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.7251409479784"
"660","NsiI.TP262378","HW_1",6720,8,55743978,0.0000185577982165395,0.438721410367113,106,NA,NA,0.0134888039587932,NA,0.0134888039587931,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.60797900280319"
"661","NsiI.TP266954","FD_50",3651,8,4177407,0.000363910548432083,0.117434310692467,106,NA,NA,0.0452736712366748,NA,0.0452736712366749,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.77918425871215"
"662","NsiI.TP266954","FM_50",3804,8,4177407,0.000147999376222846,0.117434310692467,106,NA,NA,0.0383261722161652,NA,0.0383261722161652,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.50413627960656"
"663","NsiI.TP266954","GFW_1",4320,8,4177407,0.0000553691767142448,0.117434310692467,106,NA,NA,0.00869793402348202,NA,0.00869793402348202,"124+36088im","MLM+SUPER","PS_Y","GAPIT","2.76600019448549"
"664","NsiI.TP266954","HM_1",6149,8,4177407,0.000232870741432176,0.117434310692467,106,NA,NA,0.02663630653782,NA,0.0266363065378199,"124+36088im","MLM+SUPER","PS_Y","GAPIT","3.17400357112633"
"665","NsiI.TP267353","GS",5692,2,73896405,0.00000000126870949440309,0.0806558425935591,114,NA,NA,0.00000332833248761707,NA,0.00000332833248761707,"124+36088im","MLM+SUPER","PS_Y","GAPIT","3.0881675053023"
"666","NsiI.TP26932","GS",5749,11,9419,0.0000100543051919546,0.0599547331094495,114,NA,NA,0.00393620184416666,NA,0.00393620184416666,"124+36088im","MLM+SUPER","PS_Y","GAPIT","9.12322393774644"
"667","NsiI.TP275227","FD_50",3601,9,52933109,0.000251820069089116,0.334737830531843,106,NA,NA,0.0412460668166888,NA,0.0412460668166888,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.509572905102986"
"668","NsiI.TP275227","FM_1",3688,9,52933109,0.0000382834243375377,0.334737830531843,106,NA,NA,0.048506759761062,NA,0.048506759761062,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.728352960819551"
"669","NsiI.TP275227","fprind",7479,9,52933109,0.000236283897097116,0.334737830531843,106,NA,NA,0.0421678350778623,NA,0.0421678350778622,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.548819609914543"
"670","NsiI.TP275227","fprinW",7238,9,52933109,0.000175586740062351,0.334737830531843,106,NA,NA,0.039271348723438,NA,0.0392713487234381,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.57833062994946"
"671","NsiI.TP275227","FW_50",4075,9,52933109,0.000190146006944323,0.334737830531843,106,NA,NA,0.034773139713789,NA,0.0347731397137891,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.585703676463117"
"672","NsiI.TP275227","GFW_1",4163,9,52933109,0.00000126204767921721,0.334737830531843,106,NA,NA,0.00267352287300773,NA,0.00267352287300773,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.58975729145852"
"673","NsiI.TP275227","GFW_50",4944,9,52933109,0.000209745583872254,0.334737830531843,106,NA,NA,0.0359686358832947,NA,0.0359686358832948,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.703342085603988"
"674","NsiI.TP275227","GHW_1",5157,9,52933109,0.000131524769546969,0.334737830531843,106,NA,NA,0.0206612024209292,NA,0.0206612024209293,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.710295253043864"
"675","NsiI.TP275227","HM_1",6175,9,52933109,0.000268377253383936,0.334737830531843,106,NA,NA,0.0277189325404495,NA,0.0277189325404495,"124+36088im","MLM+SUPER","PS_Y","GAPIT","0.781678672641442"
