"","SNP","Chromosome","Position","P.value","Method","Trait.name","Software","Ind.SNP","PS"
"235","NsiI.TP430591",11,14044,0.0000707197099356599,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"236","NsiI.TP442242",11,14323,0.0000860075946382518,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"237","NsiI.TP485619",11,14984,0.000207077455304609,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"238","NsiI.TP486023",11,14992,0.0000418359664524466,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"239","NsiI.TP490331",11,15064,0.0000173645028816919,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"240","NsiI.TP493171",11,15108,0.0000438918146154772,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"241","NsiI.TP525885",11,15624,0.0000448668312417448,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"242","NsiI.TP578274",11,16315,0.000144423509464281,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"243","NsiI.TP581753",11,16359,0.000165303582187399,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"244","NsiI.TP587756",11,16426,0.000000228789423394905,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"245","NsiI.TP607946",11,16632,0.00000999943924389451,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"246","NsiI.TP642616",11,17091,0.00000432649172884108,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"247","NsiI.TP667079",11,17305,0.000032311661208115,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"248","NsiI.TP695292",11,17688,0.000109252639060579,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"249","NsiI.TP702251",11,17761,0.0000957502363882729,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"250","NsiI.TP708561",11,17855,0.000188448191467826,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"251","NsiI.TP731812",11,18106,0.0000000118745371558155,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"252","NsiI.TP759015",11,18450,0.0000334772393972307,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"253","NsiI.TP762798",11,18506,0.000037786168588999,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"254","PstI.TP723544",9,1942972,0.000000149781048233861,"rrBLUP","Yld","rrBLUP","124im+36088","PCA=3"
"255","PstI.TP723544",9,1942972,0.000000241267025976326,"rrBLUP","CmDW_V","rrBLUP","124im+36088","PCA=3"
"256","PstI.TP723544",9,1942972,0.000000149781048238147,"rrBLUP","Yld_1","rrBLUP","124im+36088","PCA=3"
"257","PstI.TP459121",1,78162835,0.00000327071704757347,"rrBLUP","OWA19","rrBLUP","124im+36088","PCA=3"
"258","NsiI.TP460633",4,62266318,0.000004896483077604,"rrBLUP","OWA19","rrBLUP","124im+36088","PCA=3"
"259","NsiI.TP208625",8,50606712,0.000000698726968130272,"rrBLUP","OWA19","rrBLUP","124im+36088","PCA=3"
"260","PstI.TP334601",11,2644,0.000000474067626739745,"rrBLUP","OWA19","rrBLUP","124im+36088","PCA=3"
"261","PstI.TP373577",11,2924,0.00000596819571133801,"rrBLUP","OWA19","rrBLUP","124im+36088","PCA=3"
"262","PstI.TP459121",1,78162835,0.000000140465176371847,"rrBLUP","OWA19","rrBLUP","O102+4322","PCA=3"
"263","PstI.TP459121",1,78162835,0.000000079075727053493,"rrBLUP","OWA19","rrBLUP","O112+3450","PCA=3"
"264","PstI.TP298201",6,1375822,0.0000359539415307062,"rrBLUP","OWA19","rrBLUP","O112+3450","PCA=3"
"265","PstI.TP459121",1,78162835,0.000000931652270644639,"rrBLUP","OWA19","rrBLUP","O122+2646","PCA=3"
"266","PstI.TP1200270",2,13518060,0.0000840629508041297,"rrBLUP","OWA19","rrBLUP","O122+2646","PCA=3"
"267","PstI.TP298201",6,1375822,0.0000312708039797555,"rrBLUP","OWA19","rrBLUP","O122+2646","PCA=3"
