"","SNP","Chromosome","Position","Trait.name","Method","QTN.effect","LOD.score","PVE","MAF","Genotype.for.code.1","Var_error","Var_phen..total.","Software","Ind.SNP","PS","P.value"
"176","PstI.TP1053156",11,7312,"FNsmall","ISIS EM-BLASSO",-0.3125,3.2209,14.6928,0.1491,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000117516811624744
"150","NsiI.TP30868",1,51136397,"HD_1","mrMLM",-0.0685,4.9744,8.6086,0.1009,"G",0.0045,0.0094,"mrMLMM","F116+36088im","PS_N",0.00000170019995364236
"230","PstI.TP622176",3,65129470,"HD_1","mrMLM",0.049,8.8511,16.8837,0.3772,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000172186857498601
"324","NsiI.TP825923",6,52448208,"HD_1","mrMLM",0.0412,3.3312,15.1067,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000897842170909726
"423","NsiI.TP810192",8,2563502,"HD_1","mrMLM",0.0491,3.9701,17.644,0.2018,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000190458342289451
"514","PstI.TP210905",2,72650615,"HD_1","FASTmrMLM",0.0065,3.0363,0.3414,0.181,"C",0.0029,0.0094,"mrMLMM","F116+36088im","PS_N",0.00018454402985937
"613","PstI.TP661215",3,54129611,"HD_1","FASTmrMLM",0.0196,7.0068,4.0457,0.2198,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000134431176667131
"714","PstI.TP622176",3,65129470,"HD_1","FASTmrMLM",0.0296,3.8752,6.9918,0.3707,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000239607274974557
"811","PstI.TP133136",5,65324990,"HD_1","FASTmrMLM",0.0225,5.479,1.9951,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000508627690306437
"918","PstI.TP1192081",9,48933732,"HD_1","FASTmrMLM",0.0456,4.1938,6.9621,0.1034,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000110968572677413
"1013","PstI.TP125419",10,50424324,"HD_1","FASTmrMLM",-0.0087,3.2031,0.2536,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000122715663536708
"1117","PstI.TP187918",11,1532,"HD_1","FASTmrMLM",0.0279,8.8032,7.2135,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000192752491319094
"1215","PstI.TP1020545",11,7078,"HD_1","FASTmrMLM",0.0228,5.9968,4.753,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000148013047302082
"1311","NsiI.TP59527",11,9833,"HD_1","FASTmrMLM",0.0266,3.1797,7.3659,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000129957096566171
"1411","NsiI.TP491839",11,15088,"HD_1","FASTmrMLM",-0.0005,4.4442,0.001,0.125,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000607155592988648
"158","NsiI.TP495572",11,15165,"HD_1","FASTmrMLM",0.0222,3.6756,4.9283,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000388597497954394
"168","PstI.TP131472",1,7412958,"HD_1","pLARmEB",0.0002,4.1887,0.0002,0.0776,"A",0.0034,0.0094,"mrMLMM","F116+36088im","PS_N",0.0000112356965136437
"177","PstI.TP1052140",6,19137861,"HD_1","pLARmEB",0.0538,4.6112,4.1085,0.1034,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000406349752903903
"186","PstI.TP846605",10,61222842,"HD_1","pLARmEB",-0.0154,3.1017,2.2709,0.306,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000157253384007691
"196","PstI.TP874146",11,6098,"HD_1","pLARmEB",0.0374,4.6937,5.9364,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000333349647332757
"206","PstI.TP1020545",11,7078,"HD_1","pLARmEB",0.0307,3.6498,8.6082,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000413713792727351
"2114","NsiI.TP767179",11,18585,"HD_1","pLARmEB",0.0501,6.9228,26.4715,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000164021205693185
"2210","PstI.TP1020545",11,7078,"HD_1","ISIS EM-BLASSO",0.0429,4.651,16.7677,0.3405,"A",0.0037,0.0094,"mrMLMM","F116+36088im","PS_N",0.00000369317596047987
"93","NsiI.TP30868",1,51136397,"FD_1","pLARmEB",-0.0145,3.1804,0.3457,0.0991,"G",0.0037,0.0113,"mrMLMM","F116+36088im","PS_N",0.000129717927098396
"94","PstI.TP1052140",6,19137861,"FD_1","pLARmEB",0.0623,3.1574,4.343,0.1034,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000137214497657306
"95","PstI.TP434247",11,3327,"FD_1","pLARmEB",0.0215,4.1757,2.0283,0.2198,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000115931111574165
"961","PstI.TP874146",11,6098,"FD_1","pLARmEB",0.058,4.8368,11.2246,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000236428594240175
"97","PstI.TP1020545",11,7078,"FD_1","pLARmEB",0.0364,4.9735,9.514,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000170372697651327
"98","NsiI.TP491839",11,15088,"FD_1","pLARmEB",-0.0009,4.059,0.0023,0.125,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000015363847933316
"99","PstI.TP1020545",11,7078,"FD_1","ISIS EM-BLASSO",0.0322,5.2285,7.8455,0.3405,"A",0.0041,0.0113,"mrMLMM","F116+36088im","PS_N",0.000000925550244763436
"100","PstI.TP1159423",11,8140,"FD_1","ISIS EM-BLASSO",0.0367,3.1993,10.7068,0.3922,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000123879658653037
"101","NsiI.TP59527",11,9833,"FD_1","ISIS EM-BLASSO",0.0305,3.2562,8.0231,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00010782016695999
"102","NsiI.TP767179",11,18585,"FD_1","ISIS EM-BLASSO",0.0438,4.2629,16.7167,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000939506956185668
"159","NsiI.TP30868",1,51136397,"HD_50","mrMLM",-0.1558,3.6668,4.6446,0.1009,"G",0.0299,0.0858,"mrMLMM","F116+36088im","PS_N",0.0000397008678112184
"236","PstI.TP572438",3,71178778,"HD_50","mrMLM",-0.1735,7.7337,8.3969,0.1272,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000240602424876737
"325","PstI.TP622176",3,65129470,"HD_50","mrMLM",0.1312,7.6207,12.5766,0.3772,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000314267882987922
"424","NsiI.TP821811",4,48427329,"HD_50","mrMLM",-0.1562,6.8,20.0546,0.136,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000219482551370072
"515","NsiI.TP825923",6,52448208,"HD_50","mrMLM",0.1648,12.0464,25.1378,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000094710907947016
"614","PstI.TP210905",2,72650615,"HD_50","FASTmrMLM",0.0726,3.6478,4.7145,0.181,"C",0.0249,0.0858,"mrMLMM","F116+36088im","PS_N",0.0000415719120675218
"715","PstI.TP312198",3,8384639,"HD_50","FASTmrMLM",0.1207,6.7781,14.976,0.1897,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000231206479017559
"812","PstI.TP661215",3,54129611,"HD_50","FASTmrMLM",0.0157,3.6895,0.2843,0.2198,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000375750874490488
"919","PstI.TP622176",3,65129470,"HD_50","FASTmrMLM",0.0886,4.0308,6.8669,0.3707,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000164475039739146
"1014","NsiI.TP821811",4,48427329,"HD_50","FASTmrMLM",-0.1177,6.872,13.6063,0.1336,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000185054648979471
"1118","NsiI.TP324593",4,54954569,"HD_50","FASTmrMLM",0.1402,6.5149,5.1956,0.0776,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000431817262623727
"1216","PstI.TP133136",5,65324990,"HD_50","FASTmrMLM",0.0692,3.5137,2.0725,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000575837574486839
"1312","PstI.TP125419",10,50424324,"HD_50","FASTmrMLM",-0.0581,3.6816,1.2404,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000383001081226448
"1412","PstI.TP1020545",11,7078,"HD_50","FASTmrMLM",0.0445,3.5423,1.9757,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000537155466748664
"1510","PstI.TP1295242",1,70821690,"HD_50","pLARmEB",-0.1534,6.4834,1.8605,0.0991,"C",0.0239,0.0858,"mrMLMM","F116+36088im","PS_N",0.0000000465371732565491
"169","NsiI.TP324593",4,54954569,"HD_50","pLARmEB",0.0971,3.2277,2.4917,0.0776,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000115584606815622
"178","PstI.TP133136",5,65324990,"HD_50","pLARmEB",0.1091,6.956,5.1524,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000151635190078729
"187","PstI.TP1052140",6,19137861,"HD_50","pLARmEB",0.14,4.0668,3.044,0.1034,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000150799534180179
"197","PstI.TP187918",11,1532,"HD_50","pLARmEB",0.0833,4.9361,7.0389,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000018638029723462
"207","PstI.TP497572",11,3771,"HD_50","pLARmEB",0.0866,5.331,4.5893,0.3103,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000724269171733694
"2115","NsiI.TP705689",11,17810,"HD_50","pLARmEB",0.1368,4.8256,3.6004,0.1034,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000242884611514222
"2211","NsiI.TP767179",11,18585,"HD_50","pLARmEB",0.0913,4.194,9.6241,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000011091748152624
"160","NsiI.TP30868",1,51136397,"FD_50","mrMLM",-0.1915,5.7535,4.2394,0.1009,"G",0.0321,0.1359,"mrMLMM","F116+36088im","PS_N",0.000000264240875732194
"237","PstI.TP622176",3,65129470,"FD_50","mrMLM",0.1439,6.402,9.155,0.3772,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000564676871616537
"326","PstI.TP935651",4,66370793,"FD_50","mrMLM",0.2037,7.803,22.0948,0.2018,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000204220812633464
"425","NsiI.TP821811",4,48427329,"FD_50","mrMLM",-0.2031,10.1067,20.4722,0.136,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000897015608414814
"516","NsiI.TP825923",6,52448208,"FD_50","mrMLM",0.1258,3.8102,8.8579,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000280414198545369
"615","NsiI.TP607068",8,1666575,"FD_50","mrMLM",-0.1375,6.0556,9.5352,0.1754,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000128676725302967
"716","NsiI.TP383484",9,6111601,"FD_50","mrMLM",0.109,3.6893,3.3303,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000375923954012917
"813","PstI.TP125419",10,50424324,"FD_50","mrMLM",-0.1357,4.7935,3.4187,0.2281,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000262301032430877
"920","NsiI.TP821811",4,48427329,"FD_50","FASTmrMLM",-0.1718,7.383,18.2963,0.1336,"A",0.0468,0.1359,"mrMLMM","F116+36088im","PS_N",0.00000000551442202381744
"1015","NsiI.TP324593",4,54954569,"FD_50","FASTmrMLM",0.1922,6.4208,6.1651,0.0776,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000540007759066593
"1119","PstI.TP133136",5,65324990,"FD_50","FASTmrMLM",0.0992,4.2491,2.6857,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000971180603383293
"1217","NsiI.TP825923",6,52448208,"FD_50","FASTmrMLM",0.0901,3.0541,5.6748,0.1897,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000176685129845388
"1313","NsiI.TP383484",9,6111601,"FD_50","FASTmrMLM",0.1106,5.6675,4.2791,0.1983,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000324414307904885
"1413","PstI.TP607810",11,4293,"FD_50","FASTmrMLM",-0.0978,4.1297,7.0276,0.1422,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000129538838897489
"1511","PstI.TP874146",11,6098,"FD_50","FASTmrMLM",0.2148,4.5653,13.5124,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000453732616937941
"1610","PstI.TP1020545",11,7078,"FD_50","FASTmrMLM",0.0658,3.2233,2.7247,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000116815372986132
"179","PstI.TP929267",1,63290479,"FD_50","pLARmEB",-0.0912,4.2792,2.4358,0.1552,"C",0.0371,0.1359,"mrMLMM","F116+36088im","PS_N",0.00000903233423567246
"188","PstI.TP513949",3,61369495,"FD_50","pLARmEB",0.0819,4.033,4.93,0.3448,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000163606291310142
"198","NsiI.TP821811",4,48427329,"FD_50","pLARmEB",-0.1253,6.008,9.7328,0.1336,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000144111951752011
"208","PstI.TP133136",5,65324990,"FD_50","pLARmEB",0.0971,3.0959,2.5747,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00015951443869276
"2116","PstI.TP1052140",6,19137861,"FD_50","pLARmEB",0.2351,7.5555,5.4149,0.1034,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000366690788203697
"2212","NsiI.TP646295",11,17132,"FD_50","pLARmEB",-0.0725,3.5378,3.5311,0.4267,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000543000213065738
"238","NsiI.TP30868",1,51136397,"FD_50","ISIS EM-BLASSO",-0.143,4.0754,2.95,0.0991,"G",0.0517,0.1359,"mrMLMM","F116+36088im","PS_N",0.0000147672626739858
"246","PstI.TP622176",3,65129470,"FD_50","ISIS EM-BLASSO",0.1422,6.3773,11.1565,0.3707,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000598687237248059
"255","NsiI.TP245163",5,55180573,"FD_50","ISIS EM-BLASSO",-0.1309,5.8608,12.469,0.2241,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000020459734796793
"264","PstI.TP1052140",6,19137861,"FD_50","ISIS EM-BLASSO",0.2097,4.7567,4.3085,0.1034,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000286549727636424
"273","NsiI.TP59527",11,9833,"FD_50","ISIS EM-BLASSO",0.1368,4.8488,13.4406,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000229720630715835
"170","NsiI.TP30868",1,51136397,"HW_1","FASTmrMLM",-0.0006,42.8885,0.1251,0.0991,"G",0,0.0001,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000732993291651776
"239","PstI.TP929267",1,63290479,"HW_1","FASTmrMLM",-0.0007,44.0038,0.3737,0.1552,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000000000000000555008967183649
"327","PstI.TP820348",1,64116607,"HW_1","FASTmrMLM",0.000013368,22.7251,0.000046483,0.0172,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000145814260614746
"426","PstI.TP134743",1,73610397,"HW_1","FASTmrMLM",-0.0004,14.175,0.0581,0.0474,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000651178420546182
"517","PstI.TP640960",1,80209769,"HW_1","FASTmrMLM",0.0005,57.6382,0.044,0.0388,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000000000000000000000000000000112797636558816
"616","PstI.TP40160",2,77518912,"HW_1","FASTmrMLM",0.0003,3.9697,0.0384,0.069,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000190633841713433
"717","NsiI.TP215974",3,56338222,"HW_1","FASTmrMLM",0.0003,31.8463,0,0.0172,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000934975003088594
"814","PstI.TP621994",3,74383503,"HW_1","FASTmrMLM",-0.0002,22.2126,0,0.0129,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000004798439240639
"921","NsiI.TP34695",4,6508508,"HW_1","FASTmrMLM",-0.0004,67.9468,0.2183,0.0474,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000000000000000000000000000000000000000511210776117745
"1016","PstI.TP876839",4,6887064,"HW_1","FASTmrMLM",0.001,22.299,0.8863,0.0388,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000039255453597011
"1120","PstI.TP705829",6,58061911,"HW_1","FASTmrMLM",-0.0003,9.9308,0.0459,0.0991,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000135643816290927
"1218","NsiI.TP810192",8,2563502,"HW_1","FASTmrMLM",0.0004,41.826,0.2902,0.1983,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000008568405276916
"1314","PstI.TP1192081",9,48933732,"HW_1","FASTmrMLM",0.0007,3.972,0.2759,0.1034,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000189583265694711
"1414","NsiI.TP309926",11,12517,"HW_1","FASTmrMLM",0.0005,4.6892,0.1296,0.0991,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000336976798584403
"1512","NsiI.TP491839",11,15088,"HW_1","FASTmrMLM",-0.0008,34.2821,0.4044,0.125,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000330521716869978
"1611","PstI.TP1020545",11,7078,"HW_1","ISIS EM-BLASSO",0.0014,3.3486,3.3788,0.3405,"A",0,0.0001,"mrMLMM","F116+36088im","PS_N",0.0000860597341192822
"180","PstI.TP622176",3,65129470,"FW_1","mrMLM",0.0042,4.0776,14.9888,0.3772,"C",0.0001,0.0001,"mrMLMM","F116+36088im","PS_N",0.0000146892627764387
"240","NsiI.TP825923",6,52448208,"FW_1","mrMLM",0.0042,3.5964,18.1881,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000470977326396953
"328","PstI.TP198419",7,2405340,"FW_1","mrMLM",-0.0037,3.625,6.5954,0.1754,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000439440418891809
"427","PstI.TP1248141",1,57379416,"FW_1","FASTmrMLM",0.0013,47.1261,1.7834,0.1509,"C",0,0.0001,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000000000000000000404948691518632
"518","PstI.TP457393",1,60097068,"FW_1","FASTmrMLM",0.000064185,54.9926,0.0041,0.2069,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000000000000000510387465387313
"617","NsiI.TP496851",3,61267172,"FW_1","FASTmrMLM",-0.0009,51.8796,0.2343,0.1164,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000000000000681239779965917
"718","PstI.TP1256552",10,47768031,"FW_1","FASTmrMLM",-0.0001,3.3986,0.012,0.0647,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000761903555049371
"815","PstI.TP1020545",11,7078,"FW_1","ISIS EM-BLASSO",0.0016,3.2282,2.7201,0.3405,"A",0,0.0001,"mrMLMM","F116+36088im","PS_N",0.000115425031036467
"1164","PstI.TP332845",3,68039381,"HW_50","mrMLM",-0.0145,4.0233,12.359,0.4519,"C",0.0006,0.0013,"mrMLMM","F106+4185","PS_N",0.0000167494287602644
"2145","PstI.TP1052140",6,19137861,"HW_50","mrMLM",0.025,4.2363,5.3174,0.101,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000100161310922831
"365","PstI.TP532426",7,64966356,"HW_50","mrMLM",0.014,4.1024,12.7461,0.4663,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000138356637897178
"455","PstI.TP1159423",11,8140,"HW_50","mrMLM",0.0179,4.3476,22.0927,0.4135,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000766125645013802
"555","PstI.TP1052140",6,19137861,"HW_50","FASTmrEMMA",0.0504,4.0767,10.6333,0.0991,"A",0.0008,0.0013,"mrMLMM","F106+4185","PS_N",0.0000147197352897795
"646","PstI.TP1159423",11,8140,"HW_50","FASTmrEMMA",0.033,3.3076,9.2063,0.4057,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000951042664157393
"753","PstI.TP308053",1,8330660,"HW_50","pLARmEB",-0.0012,3.5928,0.0174,0.1132,"A",0.0006,0.0013,"mrMLMM","F106+4185","PS_N",0.0000475116376377562
"844","PstI.TP541575",2,74276308,"HW_50","pLARmEB",-0.0002,3.4543,0.0021,0.0943,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000665273156201742
"941","PstI.TP1052140",6,19137861,"HW_50","pLARmEB",0.021,3.0454,3.7568,0.0991,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.000180467914655672
"1032","NsiI.TP819458",11,19172,"HW_50","pLARmEB",-0.000019467,4.6505,0.0000032339,0.1085,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000369743033498097
"1165","PstI.TP1226186",3,7342289,"HW_50","ISIS EM-BLASSO",0.0104,3.6614,4.0504,0.2925,"C",0.0007,0.0013,"mrMLMM","F106+4185","PS_N",0.0000402253655998683
"1228","PstI.TP332845",3,68039381,"HW_50","ISIS EM-BLASSO",-0.0139,4.172,11.3453,0.4528,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000116976870921149
"1325","PstI.TP332845",3,68039381,"FW_50","mrMLM",-0.0209,4.2518,13.0189,0.4519,"C",0.0012,0.0026,"mrMLMM","F106+4185","PS_N",0.00000964939311805581
"1422","PstI.TP1052140",6,19137861,"FW_50","mrMLM",0.0355,4.3588,5.4405,0.101,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000745761570206989
"1520","PstI.TP532426",7,64966356,"FW_50","mrMLM",0.0197,4.1378,12.7593,0.4663,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000127028157838881
"1618","PstI.TP1159423",11,8140,"FW_50","mrMLM",0.0248,4.2248,21.232,0.4135,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000010299117193407
"1716","PstI.TP332845",3,68039381,"FW_50","FASTmrMLM",-0.0162,3.5601,7.7985,0.4528,"C",0.0013,0.0026,"mrMLMM","F106+4185","PS_N",0.0000514398863028773
"1815","PstI.TP1052140",6,19137861,"FW_50","FASTmrMLM",0.0291,3.1693,3.648,0.0991,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.000133290746423134
"1915","PstI.TP1159423",11,8140,"FW_50","FASTmrEMMA",0.0403,3.1052,6.9467,0.4057,"C",0.0015,0.0026,"mrMLMM","F106+4185","PS_N",0.000155883446770439
"2015","PstI.TP1052140",6,19137861,"FW_50","pLARmEB",0.0319,5.0535,3.47,0.0991,"A",0.0013,0.0026,"mrMLMM","F106+4185","PS_N",0.00000140669518206104
"2146","NsiI.TP274765",6,47625849,"FW_50","pLARmEB",-0.0065,4.0086,1.2976,0.3208,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.000017354016258719
"2215","PstI.TP1159423",11,8140,"FW_50","pLARmEB",0.0181,3.3978,8.9497,0.4057,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000763308326709184
"2314","PstI.TP332845",3,68039381,"FW_50","ISIS EM-BLASSO",-0.0169,3.8979,8.4848,0.4528,"C",0.0012,0.0026,"mrMLMM","F106+4185","PS_N",0.0000226829742622447
"2414","NsiI.TP481176",1,7350098,"GHW_1","mrMLM",-0.0081,3.7203,8.3042,0.2452,"A",0.0001,0.0002,"mrMLMM","F106+4185","PS_N",0.0000348738584135219
"2513","PstI.TP360841",2,2832783,"GHW_1","mrMLM",0.0086,3.8208,10.9832,0.3942,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000273337992205334
"2613","PstI.TP1052140",6,19137861,"GHW_1","mrMLM",0.0108,3.3377,5.1186,0.101,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000883690121141457
"2713","PstI.TP1159423",11,8140,"GHW_1","FASTmrEMMA",0.0145,3.8841,9.2173,0.4057,"C",0.0002,0.0002,"mrMLMM","F106+4185","PS_N",0.0000234530862120027
"2812","PstI.TP288641",1,27158173,"GHW_1","pLARmEB",-0.0011,45.7242,0.1617,0.0519,"A",0,0.0002,"mrMLMM","F106+4185","PS_N",0.0000000000000000000000000000000000000000000000103681196406103
"2912","PstI.TP901545",1,71391273,"GHW_1","pLARmEB",0.0005,37.5984,0,0.033,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000000000000000000000000000000000152510589584335
"303","PstI.TP245404",1,79960134,"GHW_1","pLARmEB",-0.0024,73.7902,0,0.1509,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000000000000000000000000000000000000000000000000000000000000000000000000704044321469975
"3111","PstI.TP972096",2,3042190,"GHW_1","pLARmEB",0.0003,10.0549,0,0.0283,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000101321124241273
"3210","PstI.TP249296",2,57415075,"GHW_1","pLARmEB",-0.0007,22.1296,0.1416,0.1415,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000000000000000000581969198981766
"3310","PstI.TP541575",2,74276308,"GHW_1","pLARmEB",-0.0014,13.4044,0.4297,0.0943,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000000000394457302075279
"3410","PstI.TP217258",3,3992070,"GHW_1","pLARmEB",0.0006,30.2089,0.0521,0.0425,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000000000000000000000416293854786144
"3510","PstI.TP246329",3,29389536,"GHW_1","pLARmEB",-0.0003,17.537,0.0033,0.0142,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000000000000000255152601090967
"366","NsiI.TP529124",3,63127607,"GHW_1","pLARmEB",-0.001,10.9904,0.0279,0.1415,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000000112615974690787
"373","PstI.TP568461",3,74315454,"GHW_1","pLARmEB",0.0005,42.3192,0.0156,0.0236,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000000000000000000000000000000000273652865419245
"383","PstI.TP1107519",9,3315165,"GHW_1","pLARmEB",0.0006,54.6614,0.0447,0.0472,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000000000000000000000000000000000000000000000109748855509894
"392","PstI.TP1156107",10,4914081,"GHW_1","pLARmEB",-0.0006,56.3765,0.052,0.0519,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000000000000000000000000000000000000000000000000000000208305146502175
"402","NsiI.TP727404",10,60764600,"GHW_1","pLARmEB",-0.001,70.3842,0.1997,0.0991,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000000000000000000000000000000000000000000000000000000000000018352701456751
"4110","PstI.TP919648",11,6431,"GHW_1","pLARmEB",0.0002,47.1049,0,0.0142,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000000000000000000000000000000000000000000000425304521683437
