"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE"
"120","PstI.TP10852",10,58028954,0.00012267946117544,0.137931034482759,116,0.443675751613834,0.52021118636167,0.0287751491712615,0.620970468309679,0.0287751491712615,"C116+3293","PS_N","GAPIT","CMLM","GS",7.6535434747836
"121","PstI.TP882242",5,68630849,0.000214795367121408,0.0689655172413793,116,0.443675751613834,0.51440658367161,0.0434222376479702,-0.629787843925442,0.0434222376479701,"C116+3293","PS_N","GAPIT","CMLM","GS",7.0730832057776
"122","PstI.TP778881",9,48260943,0.000226264620619456,0.0646551724137931,116,0.443675751613834,0.513871410936824,0.0434222376479702,0.681986222727801,0.0434222376479701,"C116+3293","PS_N","GAPIT","CMLM","GS",7.019565932299
"123","NsiI.TP353127",8,4560146,0.000255047780926432,0.125,116,0.443675751613834,0.512642033149202,0.0448671554613082,0.516995121764012,0.0448671554613082,"C116+3293","PS_N","GAPIT","CMLM","GS",6.8966281535368
"124","NsiI.TP503227",7,87451,0.000318152078115412,0.0646551724137931,116,0.443675751613834,0.510381748211936,0.0473380168427495,-0.559677961207854,0.0473380168427495,"C116+3293","PS_N","GAPIT","CMLM","GS",6.67059965981021
"125","PstI.TP873911",2,65476325,0.000339698786284891,0.0991379310344828,116,0.443675751613834,0.509714145776414,0.0473380168427495,0.617236820530252,0.0473380168427495,"C116+3293","PS_N","GAPIT","CMLM","GS",6.60383941625801
"126","PstI.TP731882",3,19716780,0.000341572944877074,0.0689655172413793,116,0.443675751613834,0.509658142645246,0.0473380168427495,0.586403299865196,0.0473380168427495,"C116+3293","PS_N","GAPIT","CMLM","GS",6.5982391031412
"127","PstI.TP673057",3,68094426,0.00035879122192515,0.103448275862069,116,0.443675751613834,0.509157898275491,0.0473380168427495,-0.510662025815691,0.0473380168427495,"C116+3293","PS_N","GAPIT","CMLM","GS",6.5482146661657
"128","PstI.TP84880",1,63680478,0.000000141481555891991,0.129032258064516,124,0.600045894913091,0.701627680679473,0.000229200120545026,-0.920644985058516,0.000229200120545025,"C124+2560","PS_N","GAPIT","CMLM","GS",10.1581785766382
"129","PstI.TP1148487",4,48397503,0.000000558429578321238,0.0766129032258065,124,0.600045894913091,0.690871896946831,0.000370969723678236,-0.921297969698458,0.000370969723678236,"C124+2560","PS_N","GAPIT","CMLM","GS",9.082600203374
"130","PstI.TP694159",3,61030989,0.000000686980969774511,0.0766129032258065,124,0.600045894913091,0.689272240840262,0.000370969723678236,0.955475601192859,0.000370969723678236,"C124+2560","PS_N","GAPIT","CMLM","GS",8.92263459271709
"131","PstI.TP529090",11,3947,0.00000427499798339689,0.0887096774193549,124,0.600045894913091,0.675421874067422,0.00173137418327574,0.560194786543207,0.00173137418327574,"C124+2560","PS_N","GAPIT","CMLM","GS",7.5375979154331
"132","PstI.TP1136227",9,52020995,0.0000224971743530575,0.0685483870967742,124,0.600045894913091,0.663257714709783,0.00728908449039064,0.594201641931903,0.00728908449039063,"C124+2560","PS_N","GAPIT","CMLM","GS",6.3211819796692
"133","PstI.TP229147",2,3390758,0.0000412127894226761,0.0524193548387096,124,0.600045894913091,0.658923460940078,0.0111274531441225,0.934487918406376,0.0111274531441225,"C124+2560","PS_N","GAPIT","CMLM","GS",5.8877566026987
"134","PstI.TP171713",4,6902976,0.0000853772765846545,0.0685483870967742,124,0.600045894913091,0.65378107201614,0.0197587411524486,-0.686361622212644,0.0197587411524486,"C124+2560","PS_N","GAPIT","CMLM","GS",5.3735177103049
"135","PstI.TP733771",11,5061,0.000132295505797769,0.0766129032258065,124,0.600045894913091,0.650727559992521,0.0239451632827484,0.730916384550255,0.0239451632827484,"C124+2560","PS_N","GAPIT","CMLM","GS",5.06816650794299
"136","PstI.TP770204",3,67523376,0.000133028684904158,0.0604838709677419,124,0.600045894913091,0.650689215347332,0.0239451632827484,0.576116998017369,0.0239451632827484,"C124+2560","PS_N","GAPIT","CMLM","GS",5.0643320434241
"137","PstI.TP873911",2,65476325,0.000279577616625202,0.0967741935483871,124,0.600045894913091,0.645579584807099,0.0439753102031637,0.633228044843349,0.0439753102031637,"C124+2560","PS_N","GAPIT","CMLM","GS",4.5533689894008
"138","PstI.TP778881",9,48260943,0.000298597785330124,0.0645161290322581,124,0.600045894913091,0.645130992592915,0.0439753102031637,0.661843659539898,0.0439753102031637,"C124+2560","PS_N","GAPIT","CMLM","GS",4.50850976798239
"139","PstI.TP459121",1,78162835,0.00000205134822632319,0.0735294117647059,102,0.0073077613488205,0.257243076808419,0.00577044256064713,-0.024956218704573,0.00577044256064713,"O102+4322","PS_N","GAPIT","CMLM","OWA19",24.9935315459599
"140","PstI.TP459121",1,78162835,0.00000111307570665695,0.0714285714285714,112,0.0061115009702869,0.244337769648879,0.00242427888909884,-0.0236092098395562,0.00242427888909884,"O112+3450","PS_N","GAPIT","CMLM","OWA19",23.8226268678592
"141","PstI.TP459121",1,78162835,0.0000052395177347559,0.069672131147541,122,0.0101081798899429,0.196230712808988,0.00871331799289907,-0.0215291170599191,0.00871331799289906,"O122+2646","PS_N","GAPIT","CMLM","OWA19",18.6122532919045
